Node Number	Equivalent Elastic Strain (mm/mm)
1306	3,5397e-003
1307	3,5397e-003
1308	3,5466e-003
1309	3,4279e-003
1310	3,4218e-003
1311	3,4218e-003
1312	3,4279e-003
1313	3,679e-003
1314	3,6708e-003
1315	3,6708e-003
1316	3,679e-003
1317	3,3953e-003
1318	3,3895e-003
1319	3,3895e-003
1320	3,3953e-003
1321	2,7246e-003
1322	2,7228e-003
1323	2,7228e-003
1324	2,7246e-003
1325	2,8132e-003
1326	2,811e-003
1327	2,811e-003
1328	2,8132e-003
1329	2,5515e-003
1330	2,5504e-003
1331	2,5504e-003
1332	2,5515e-003
1333	2,6358e-003
1334	2,6343e-003
1335	2,6343e-003
1336	2,6358e-003
1337	2,4104e-003
1338	2,4099e-003
1339	2,4099e-003
1340	2,4104e-003
1341	2,475e-003
1342	2,4742e-003
1343	2,4742e-003
1344	2,475e-003
1345	2,3597e-003
1346	2,3593e-003
1347	2,3593e-003
1348	2,3597e-003
1349	2,3123e-003
1350	2,312e-003
1351	2,312e-003
1352	2,3123e-003
1353	2,3094e-003
1354	2,3092e-003
1355	2,3092e-003
1356	2,3094e-003
1357	2,372e-003
1358	2,3714e-003
1359	2,3714e-003
1360	2,372e-003
1361	2,3336e-003
