Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
2364	24,712	-8,6579	-0,11647	29,164
2364	24,712	-8,6579	-0,11647	29,164
2365	24,15	-9,6833	-0,11647	25,957
2365	24,15	-9,6833	-0,11647	25,957
2366	23,604	-10,619	-0,11647	23,829
2366	23,604	-10,619	-0,11647	23,829
2367	23,106	-11,532	-0,11647	22,233
2367	23,106	-11,532	-0,11647	22,233
2368	22,613	-12,433	-0,11647	20,949
2368	22,613	-12,433	-0,11647	20,949
2369	22,123	-13,349	-0,11647	19,893
2369	22,123	-13,349	-0,11647	19,893
2370	21,631	-14,268	-0,11647	19,029
2370	21,631	-14,268	-0,11647	19,029
2371	21,137	-15,19	-0,11647	18,333
2371	21,137	-15,19	-0,11647	18,333
2372	20,641	-16,116	-0,11647	17,782
2372	20,641	-16,116	-0,11647	17,782
2373	20,141	-17,045	-0,11647	17,359
2373	20,141	-17,045	-0,11647	17,359
2374	19,64	-17,977	-0,11647	17,053
2374	19,64	-17,977	-0,11647	17,053
2375	19,136	-18,913	-0,11647	16,852
2375	19,136	-18,913	-0,11647	16,852
2376	18,629	-19,851	-0,11647	16,751
2376	18,629	-19,851	-0,11647	16,751
2377	18,119	-20,794	-0,11647	16,741
2377	18,119	-20,794	-0,11647	16,741
2378	17,605	-21,742	-0,11647	16,818
2378	17,605	-21,742	-0,11647	16,818
2379	17,089	-22,697	-0,11647	16,976
2379	17,089	-22,697	-0,11647	16,976
2380	16,571	-23,656	-0,11647	17,213
2380	16,571	-23,656	-0,11647	17,213
2381	16,05	-24,62	-0,11647	17,526
2381	16,05	-24,62	-0,11647	17,526
